date,time,asset,dir,session,pnl,result,phase,be,loss_reasons,exit_type,rr,risk_pct,score,ict,smc,wyc,conditions,inst_score,grade
2025-01-06,08:35,GOLD,BEAR,NEWYORK,323.57,WIN,3,False,[],TIMEOUT_MTM,3.0,0.5,8,4,2,2,"['ICT_SWEEP', 'ICT_FVG', 'ICT_CISD', 'ICT_PD', 'SMC_BOS', 'SMC_IMBAL', 'WYC_CAUSE', 'WYC_EFFORT']",61.5,B
2025-01-09,04:25,EUR,BEAR,LONDON,357.05,WIN,3,True,[],TP_PARTIAL_BE,2.5,0.75,6,2,2,2,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_IMBAL', 'WYC_CAUSE', 'WYC_EFFORT']",46.2,C
2025-01-09,04:40,EUR,BEAR,LONDON,348.44,WIN,3,True,[],TP_PARTIAL_BE,2.5,0.75,6,2,3,1,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_TEST']",46.2,C
2025-01-09,04:45,EUR,BEAR,LONDON,350.41,WIN,3,True,[],TP_PARTIAL_BE,3.0,0.75,7,3,3,1,"['ICT_SWEEP', 'ICT_OB', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_CAUSE']",53.8,C
2025-01-09,08:40,EUR,BEAR,NEWYORK,325.15,WIN,3,True,[],TP_PARTIAL_BE,2.5,0.75,6,2,2,2,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_IMBAL', 'WYC_TEST', 'WYC_EFFORT']",46.2,C
2025-01-09,08:50,EUR,BEAR,NEWYORK,1148.78,WIN,3,False,[],TP_FULL,2.5,0.75,6,2,3,1,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_TEST']",46.2,C
2025-01-09,08:55,EUR,BEAR,NEWYORK,1150.15,WIN,3,False,[],TP_FULL,2.5,0.75,6,2,3,1,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_EFFORT']",46.2,C
2025-01-09,09:20,EUR,BEAR,NEWYORK,1151.23,WIN,3,False,[],TP_FULL,2.5,0.75,5,2,2,1,"['ICT_SWEEP', 'ICT_PD', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_SPRING']",38.5,D
2025-01-09,09:30,EUR,BEAR,NEWYORK,1147.1,WIN,3,False,[],TP_FULL,2.5,0.75,6,2,3,1,"['ICT_SWEEP', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_EFFORT']",46.2,C
2025-01-10,03:40,GBP,BEAR,LONDON,273.38,WIN,3,True,[],TP_PARTIAL_BE,3.0,0.75,7,3,3,1,"['ICT_SWEEP', 'ICT_OB', 'ICT_PD', 'SMC_CHOCH', 'SMC_LIQ', 'SMC_IMBAL', 'WYC_CAUSE']",53.8,C
